,Name,Gender,Median_age
120,Aaliya,F,7
121,Aaliyaa,F,23
122,Aaliyah,M,7
123,Aaliyaha,F,13
124,Aaliyahmarie,F,6
125,Aaliyahrose,F,3
126,Aaliyan,F,8
127,Aaliyana,F,6
128,Aaliyanna,F,23
129,Aaliyha,F,10
130,Aaliyiah,F,6
131,Aalliyah,F,13
132,Aallyah,F,23
133,Aalok,M,29
134,Aalon,M,23
135,Aalya,F,2
136,Aalyah,F,10
137,Aalycia,F,12
138,Aalyha,F,14
139,Aalyia,F,23
140,Aalyiah,F,8
141,Aalyna,F,19
142,Aalysia,F,19
143,Aalyssa,F,10
144,Aalyvia,F,19
145,Aamanda,F,30
146,Aamanee,F,19
147,Aamani,F,7
148,Aamar,M,19
149,Aamari,M,5
150,Aamarion,M,13
151,Aamaya,F,19
152,Aamber,F,29
153,Aamena,F,8
154,Aamer,M,23
155,Aamia,F,8
156,Aamil,M,3
157,Aamilah,F,2
158,Aamina,F,7
159,Aaminah,F,8
160,Aamir,M,8
161,Aamira,F,5
162,Aamirah,F,7
163,Aamiya,F,8
164,Aamiyah,F,6
165,Aamna,F,10
166,Aamoni,F,6
167,Aamori,F,8
168,Aamya,F,9
169,Aamyah,F,8
170,Aana,F,23
171,Aanand,M,19
172,Aanav,M,19
173,Aanaya,F,3
174,Aanchal,F,12
175,Aania,F,5
176,Aaniah,F,12
177,Aanijah,F,19
178,Aanika,F,7
179,Aanisah,F,14
180,Aaniya,F,7
181,Aaniyah,F,7
182,Aaniylah,F,2
183,Aansh,M,2
184,Aanshi,F,2
185,Aanvi,F,3
186,Aanya,F,4
187,Aanyah,F,9
188,Aanyla,F,
189,Aapri,F,
190,Aaqib,M,8
191,Aaqil,M,4
192,Aara,F,3
193,Aarabella,F,3
194,Aarabhi,F,
195,Aaradhana,F,2
196,Aaradhy,M,
197,Aaradhya,F,2
198,Aaraiz,M,
199,Aaralyn,F,6
200,Aaralynn,F,4
201,Aaran,M,14
202,Aaraon,M,
203,Aaratrika,F,
204,Aarav,M,4
205,Aaravi,F,
206,Aaraya,F,
207,Aaren,M,18
208,Aareon,M,11
209,Aareona,F,
210,Aari,F,3
211,Aaria,F,3
212,Aariah,F,6
213,Aarian,M,3
214,Aariana,F,8
215,Aarianna,F,8
216,Aarib,M,3
217,Aaric,M,9
218,Aarica,F,25
219,Aarick,M,13
220,Aarie,F,
221,Aariel,F,13
222,Aarielle,F,3
223,Aarien,M,
224,Aarik,M,7
225,Aarika,F,25
226,Aariketh,M,
227,Aarilyn,F,4
228,Aarilynn,F,
229,Aarin,M,18
230,Aarini,F,3
231,Aarion,M,13
232,Aariona,F,10
233,Aarionna,F,8
234,Aaris,F,8
235,Aarish,M,3
236,Aarit,M,4
237,Aariv,M,3
238,Aariya,F,3
239,Aariyah,F,4
240,Aariyan,M,
241,Aariyana,F,6
242,Aariyanna,F,11
243,Aariyona,F,
244,Aariyonna,F,
245,Aariz,M,4
246,Aarjav,M,8
247,Aarn,M,30
248,Aarna,F,3
249,Aarnav,M,4
250,Aarnavi,F,2
251,Aarne,M,96
252,Aaro,M,3
253,Aaroh,M,
254,Aarohan,M,2
255,Aarohi,F,2
256,Aarolyn,F,
257,Aaron,M,27
258,Aarona,F,
259,Aaronae,F,
260,Aaronda,F,
261,Aaronette,F,45
262,Aaronisha,F,
263,Aaronjacob,M,
264,Aaronjames,M,16
265,Aaronjohn,M,13
266,Aaronjoseph,M,
267,Aaronjosh,M,
268,Aaronjoshua,M,15
269,Aaronlee,M,
270,Aaronmichael,M,22
271,Aaronn,M,26
272,Aaroosh,M,
273,Aarren,M,
274,Aarron,M,24
275,Aarsh,M,5
276,Aarshi,F,2
277,Aarshiya,F,
278,Aarthi,F,15
279,Aarti,F,23
280,Aaruhi,F,
281,Aarush,M,5
282,Aarushi,F,8
283,Aarvi,F,2
284,Aarvin,M,
285,Aarya,M,3
286,Aaryah,F,6
287,Aaryahi,F,
288,Aaryan,M,5
289,Aaryana,F,9
290,Aaryanna,F,12
291,Aaryash,M,
292,Aaryav,M,2
293,Aaryn,M,13
294,Aaryon,M,6
295,Aaryona,F,12
296,Aarza,F,
297,Aaser,M,
298,Aasha,F,12
299,Aashana,F,
300,Aashay,M,11
301,Aashi,F,5
302,Aashia,F,
303,Aashika,F,3
304,Aashini,F,
305,Aashir,M,5
306,Aashirya,F,3
307,Aashish,M,14
308,Aashita,F,
309,Aashiyana,F,10
310,Aashka,F,7
311,Aashman,M,
312,Aashna,F,8
313,Aashni,F,6
314,Aashray,M,2
315,Aashrita,F,6
316,Aashrith,M,5
317,Aashritha,F,4
318,Aashvi,F,4
319,Aasia,F,10
320,Aasim,M,8
321,Aasin,M,19
322,Aasir,M,3
323,Aasiya,F,6
324,Aasiyah,F,9
325,Aason,M,3
326,Aastha,F,10
327,Aathan,M,
328,Aatif,M,18
329,Aatish,M,8
330,Aava,F,5
331,Aavah,F,2
332,Aavash,M,
333,Aaven,M,5
334,Aavi,M,4
335,Aavin,M,5
336,Aavion,M,5
337,Aavya,F,2
338,Aavyan,M,3
339,Aavyn,M,3
340,Aaya,F,11
341,Aayaan,M,3
342,Aayah,F,10
343,Aayam,M,3
344,Aayan,M,5
345,Aayana,F,10
346,Aayanah,F,7
347,Aayanna,F,11
348,Aayansh,M,3
349,Aayat,F,3
350,Aaydan,M,3
351,Aayden,M,4
352,Aayla,F,4
353,Aaylah,F,3
354,Aayliah,F,7
355,Aayra,F,1
356,Aayu,M,
357,Aayush,M,7
358,Aayusha,F,34
359,Aayushi,F,7
360,Aazan,M,
361,Aazim,M,4
362,Aaziyah,F,4
363,Ab,M,11
364,Aba,M,36
365,Abaan,M,2
366,Abad,M,13
367,Abagael,F,16
368,Abagail,F,11
369,Abagaile,F,16
370,Abagale,F,12
371,Abagayle,F,12
372,Abaigael,F,13
373,Abaigail,F,9
374,Abaigeal,F,13
375,Aban,M,3
376,Abanoub,M,9
377,Abas,M,7
378,Abasi,M,37
379,Abass,M,9
380,Abayomi,M,28
381,Abb,M,94
382,Abba,M,14
383,Abbaas,M,
384,Abbagail,F,10
385,Abbagale,F,10
386,Abbagayle,F,10
387,Abbas,M,11
388,Abbe,F,48
389,Abbee,F,12
390,Abbegail,F,13
391,Abbegale,F,14
392,Abbegayle,F,14
393,Abbey,F,19
394,Abbeygail,F,8
395,Abbeygale,F,10
396,Abbi,F,17
397,Abbie,F,26
398,Abbiegail,F,8
399,Abbiegale,F,8
400,Abbiegayle,F,6
401,Abbigael,F,13
402,Abbigail,F,10
403,Abbigaile,F,9
404,Abbigal,F,9
405,Abbigale,F,11
406,Abbigayl,F,9
407,Abbigayle,F,12
408,Abbilyn,F,6
409,Abbot,M,52
410,Abbott,M,59
411,Abbra,F,33
412,Abbriella,F,3
413,Abbrielle,F,13
414,Abby,F,19
415,Abbye,F,19
416,Abbygael,F,7
417,Abbygail,F,8
418,Abbygaile,F,6
419,Abbygale,F,9
420,Abbygayl,F,
421,Abbygayle,F,10
422,Abbylynn,F,6
423,Abcde,F,8
424,Abd,M,16
425,Abdala,M,
426,Abdalah,M,
427,Abdalla,M,10
428,Abdallah,M,12
429,Abdalrahman,M,7
430,Abdalrhman,M,
431,Abdel,M,15
432,Abdelaziz,M,10
433,Abdelhadi,M,
434,Abdelkareem,M,14
435,Abdelkarim,M,10
436,Abdellah,M,7
437,Abdelrahman,M,11
438,Abdelrhman,M,
439,Abderrahman,M,
440,Abdi,M,8
441,Abdias,M,10
442,Abdiasis,M,
443,Abdiaziz,M,6
444,Abdiel,M,7
445,Abdifatah,M,6
446,Abdihafid,M,
447,Abdihakim,M,5
448,Abdihamid,M,
449,Abdikadir,M,6
450,Abdikarim,M,11
451,Abdikhaliq,M,
452,Abdilahi,M,5
453,Abdimalik,M,6
454,Abdinajib,M,
455,Abdinasir,M,7
456,Abdiqani,M,6
457,Abdirahim,M,4
458,Abdirahin,M,
459,Abdirahman,M,6
460,Abdirashid,M,9
461,Abdirisaq,M,4
462,Abdirizak,M,7
463,Abdisalam,M,
464,Abdisalan,M,
465,Abdisamad,M,2
466,Abdishakur,M,6
467,Abdiwahab,M,6
468,Abdiwali,M,
469,Abdo,M,14
470,Abdon,M,28
471,Abdou,M,9
472,Abdoul,M,10
473,Abdoulaye,M,8
474,Abdoulaziz,M,7
475,Abdoulie,M,10
476,Abdourahman,M,
477,Abdourahmane,M,8
478,Abdrahman,M,9
479,Abdrew,M,
480,Abdu,M,41
481,Abdual,M,39
482,Abduallah,M,10
483,Abduel,M,
484,Abdul,M,22
485,Abdula,M,38
486,Abdulah,M,17
487,Abdulahad,M,3
488,Abdulahi,M,7
489,Abdulai,M,8
490,Abdulaye,M,
491,Abdulazeem,M,
492,Abdulazeez,M,11
493,Abdulaziz,M,9
494,Abdulbari,M,
495,Abdulbasit,M,6
496,Abdule,M,
497,Abdulelah,M,3
498,Abdulhadi,M,4
499,Abdulhakeem,M,17
500,Abdulhakim,M,13
501,Abdulhalim,M,
502,Abdulhameed,M,
503,Abdulhamid,M,6
504,Abduljabbar,M,3
505,Abduljaleel,M,
506,Abduljalil,M,
507,Abdulkadir,M,8
508,Abdulkareem,M,8
509,Abdulkarim,M,8
510,Abdulkhaliq,M,
511,Abdull,M,
512,Abdulla,M,16
513,Abdullah,M,11
514,Abdullahi,M,6
515,Abdullatif,M,13
516,Abdulloh,M,2
517,Abdulmajeed,M,4
518,Abdulmajid,M,11
519,Abdulmalek,M,
520,Abdulmalik,M,10
521,Abdulmohsen,M,2
522,Abdulnasir,M,
523,Abdulqadir,M,6
524,Abdulraheem,M,8
525,Abdulrahim,M,11
526,Abdulrahman,M,9
527,Abdulrazaq,M,
528,Abdulrehman,M,6
529,Abdulrhman,M,3
530,Abdulsalam,M,10
531,Abdulsamad,M,12
532,Abdulwadud,M,
533,Abdulwahab,M,8
534,Abdulwahid,M,6
535,Abdur,M,15
536,Abdurahman,M,7
537,Abdurahmon,M,
538,Abdurraheem,M,2
539,Abdurrahim,M,38
540,Abdurrahmaan,M,
541,Abdurrahman,M,9
542,Abdurrehman,M,9
543,Abdussamad,M,
544,Abe,M,88
545,Abeal,M,
546,Abed,M,20
547,Abedallah,M,23
548,Abedalrahman,M,12
549,Abednego,M,8
550,Abeeha,F,4
551,Abeer,M,17
552,Abeera,F,3
553,Abegail,F,12
554,Abegale,F,
555,Abegayle,F,11
556,Abel,M,20
557,Abela,F,5
558,Abelardo,M,37
559,Abelina,F,41
560,Abelino,M,51
561,Abell,M,90
562,Abella,F,4
563,Abem,M,4
564,Aben,M,2
565,Abena,F,18
566,Abenezer,M,4
567,Abeni,F,12
568,Aber,F,
569,Aberdeen,F,3
570,Aberham,M,9
571,Abernathy,F,3
572,Abert,M,98
573,Abery,F,
574,Abey,F,11
575,Abgail,F,15
576,Abha,F,9
577,Abhay,M,7
578,Abheek,M,
579,Abhi,M,8
580,Abhigna,F,4
581,Abhijay,M,7
582,Abhijeet,M,14
583,Abhijit,M,14
584,Abhijot,M,4
585,Abhik,M,12
586,Abhilash,M,15
587,Abhimanyu,M,7
588,Abhinav,M,8
589,Abhinay,M,
590,Abhinaya,F,
591,Abhiraam,M,
592,Abhiraj,M,5
593,Abhiram,M,7
594,Abhirup,M,11
595,Abhishek,M,15
596,Abhyuday,M,
597,Abi,F,12
598,Abia,F,4
599,Abiageal,F,6
600,Abiah,F,3
601,Abian,M,5
602,Abianna,F,
603,Abibail,F,
604,Abid,M,14
605,Abida,F,12
606,Abidah,F,
607,Abidan,M,17
608,Abie,M,73
609,Abiegail,F,11
610,Abiel,M,9
611,Abiela,F,7
612,Abiella,F,7
613,Abiezer,M,14
614,Abigael,F,12
615,Abigaelle,F,3
616,Abigahil,F,13
617,Abigai,F,14
618,Abigail,M,11
619,Abigaile,F,11
620,Abigailgrace,F,34
621,Abigaille,F,7
622,Abigailmarie,F,5
623,Abigailrose,F,
624,Abigal,F,13
625,Abigale,F,11
626,Abigayil,F,20
627,Abigayl,F,11
628,Abigayle,F,12
629,Abigeal,F,12
630,Abigel,F,5
631,Abigial,F,11
632,Abiha,F,3
633,Abihail,F,12
634,Abijah,M,9
635,Abilene,F,9
636,Abilgail,F,23
637,Abilio,M,
638,Abilyn,F,
639,Abilynn,F,
640,Abimael,M,13
641,Abimbola,M,31
642,Abimelec,M,10
643,Abin,M,16
644,Abinadab,M,
645,Abinadi,M,11
646,Abinav,M,8
647,Abinaya,F,9
648,Abiodun,M,37
649,Abiola,F,21
650,Abiona,F,10
651,Abir,M,9
652,Abira,F,11
653,Abiram,M,7
654,Abirami,F,12
655,Abisag,F,19
656,Abisai,M,10
657,Abish,F,15
658,Abisha,F,6
659,Abishai,M,5
660,Abishek,M,15
661,Abisola,F,13
662,Abiud,M,
663,Abiyah,M,11
664,Abla,F,16
665,Able,M,21
666,Abnel,M,
667,Abner,M,33
668,Abney,F,58
669,Abony,F,27
670,Abou,M,9
671,Aboubacar,M,10
672,Aboubakar,M,8
673,Abra,F,32
674,Abraam,M,6
675,Abraar,M,
676,Abrah,F,24
677,Abraham,M,23
678,Abrahan,M,15
679,Abraheem,M,18
680,Abrahem,M,8
681,Abrahim,M,13
682,Abrahm,M,10
683,Abram,M,14
684,Abran,M,24
685,Abranda,F,
686,Abrar,M,9
687,Abraxas,M,44
688,Abrea,F,15
689,Abreana,F,14
690,Abreanna,F,13
691,Abree,F,7
692,Abreia,F,
693,Abren,M,6
694,Abreona,F,
695,Abreonna,F,11
696,Abrey,F,7
697,Abreya,F,
698,Abrham,M,15
699,Abri,F,4
700,Abria,F,14
701,Abriah,F,7
702,Abrial,F,13
703,Abriam,M,
704,Abrian,M,11
705,Abriana,F,12
706,Abrianna,F,9
707,Abriannah,F,3
708,Abrianne,F,15
709,Abrie,F,7
710,Abriel,M,11
711,Abriela,F,4
712,Abriele,F,
713,Abriella,F,4
714,Abrielle,F,6
715,Abrien,M,8
716,Abrienne,F,8
717,Abrigail,F,22
718,Abrihet,F,
719,Abril,F,8
720,Abrille,F,22
721,Abrina,F,16
722,Abrion,M,
723,Abriona,F,16
724,Abrionna,F,10
725,Abrish,F,
726,Abriya,F,10
727,Abriyah,F,8
728,Abriyana,F,
729,Abrom,M,
730,Abron,M,69
731,Abrum,M,9
732,Abry,F,
733,Abryana,F,9
734,Abryanna,F,9
735,Abryella,F,2
736,Abryelle,F,6
737,Abryl,F,8
738,Absalat,F,
739,Absalom,M,22
740,Absalon,M,16
741,Abshir,M,5
742,Absidy,F,11
743,Abtin,M,
744,Abu,M,16
745,Abubacar,M,6
746,Abubacarr,M,34
747,Abubakar,M,7
748,Abubakarr,M,8
749,Abubakary,M,11
750,Abubaker,M,12
751,Abubakr,M,7
752,Abuk,F,7
753,Abukar,M,9
754,Abundio,M,71
755,Aby,F,9
756,Abyade,F,10
757,Abyan,M,5
758,Abygael,F,6
759,Abygail,F,8
760,Abygaile,F,7
761,Abygale,F,8
762,Abygayle,F,9
763,Abyssinia,F,4
764,Ac,M,71
765,Acacia,F,16
766,Acacius,M,
767,Acadia,F,9
768,Acamas,M,
769,Acari,M,3
770,Acasia,F,13
771,Accacia,F,19
772,Accalia,F,6
773,Access,M,
774,Accie,M,
775,Accursio,M,
776,Ace,M,7
777,Acea,M,7
778,Acein,M,
779,Acel,M,96
780,Acelin,M,5
781,Acelino,M,
782,Acelyn,F,5
783,Acelynn,F,4
784,Acen,M,4
785,Acencion,M,83
786,Aceon,M,5
787,Acer,M,6
788,Aceson,M,3
789,Acesyn,M,34
790,Aceton,M,2
791,Acey,M,68
792,Aceyn,M,2
793,Achai,M,
794,Achaia,F,14
795,Achaius,M,
796,Achan,F,
797,Achante,F,19
798,Achanti,F,
799,Achary,M,30
800,Achazia,F,
801,Achel,F,31
802,Acheron,M,3
803,Achille,M,90
804,Achilles,M,7
805,Achilleus,M,
806,Achillies,M,6
807,Achintya,M,8
808,Achol,F,4
809,Achraf,M,6
810,Achsah,F,95
811,Achyut,M,7
812,Achyuth,M,4
813,Acia,F,
814,Aciano,M,
815,Acie,M,75
816,Aciel,M,
817,Acil,M,95
818,Acire,F,7
819,Ackeem,M,25
820,Ackley,M,34
821,Acob,M,
822,Acquanetta,F,62
823,Acquanette,F,64
824,Acsa,F,6
825,Acura,F,20
826,Acxel,M,8
827,Acy,F,88
828,Ad,M,94
829,Ada,F,88
830,Adabel,F,42
831,Adabella,F,3
832,Adabelle,F,88
833,Adacia,F,
834,Adae,M,
835,Adael,M,5
836,Adaelyn,F,
837,Adaeze,F,12
838,Adagio,M,
839,Adah,F,80
840,Adahir,M,5
841,Adahli,F,20
842,Adahlia,F,3
843,Adahy,M,
844,Adai,F,13
845,Adaia,F,6
846,Adaiah,F,8
847,Adaija,F,14
848,Adaijah,F,13
849,Adailyn,F,
850,Adain,M,7
851,Adair,M,16
852,Adaira,F,10
853,Adaire,F,19
854,Adairis,F,
855,Adaisha,F,15
856,Adaisia,F,
857,Adaja,F,14
858,Adajah,F,13
859,Adaku,F,
860,Adal,M,10
861,Adala,F,
862,Adalade,F,
863,Adalae,F,3
864,Adalai,F,5
865,Adalaide,F,5
866,Adalay,F,5
867,Adalaya,F,2
868,Adalayde,F,
869,Adalbert,M,94
870,Adalberto,M,27
871,Adale,F,39
872,Adalea,F,3
873,Adaleah,F,3
874,Adalee,F,4
875,Adaleen,F,3
876,Adaleena,F,2
877,Adalei,F,4
878,Adaleia,F,
879,Adaleigh,F,3
880,Adaleine,F,
881,Adalen,F,2
882,Adalena,F,4
883,Adalene,F,80
884,Adaley,F,3
885,Adaleya,F,2
886,Adaleyza,F,34
887,Adalhi,F,
888,Adali,F,7
889,Adalia,F,9
890,Adaliah,F,4
891,Adalicia,F,3
892,Adalid,M,12
893,Adalida,F,14
894,Adalie,F,4
895,Adaliene,F,4
896,Adalin,F,4
897,Adalina,F,4
898,Adalind,F,34
899,Adalinda,F,25
900,Adaline,F,58
901,Adalinn,F,34
902,Adalinne,F,
903,Adalis,F,12
904,Adalisa,F,
905,Adalise,F,4
906,Adalisse,F,
907,Adalius,M,
908,Adaliyah,F,2
909,Adaliz,F,7
910,Adalize,F,
911,Adallyn,F,2
912,Adaly,F,7
913,Adalya,F,6
914,Adalye,F,3
915,Adalyn,F,3
916,Adalyna,F,3
917,Adalynd,F,34
918,Adalyne,F,4
919,Adalynn,F,2
920,Adalynne,F,3
921,Adalys,F,8
922,Adalyse,F,
923,Adam,M,29
924,Adama,M,11
925,Adamae,F,91
926,Adamari,F,9
927,Adamarie,F,8
928,Adamaris,F,9
929,Adamariz,F,9
930,Adamary,F,10
931,Adamarys,F,9
932,Adamina,F,6
933,Adamm,M,
934,Adamma,F,
935,Adammichael,M,
936,Adamo,M,32
937,Adams,M,31
938,Adan,M,13
939,Adana,F,39
940,Adaneli,F,6
941,Adanelly,F,4
942,Adanely,F,6
943,Adanna,F,10
944,Adannaya,F,9
945,Adante,M,19
946,Adanya,F,8
947,Adaobi,F,18
948,Adaora,F,8
949,Adar,M,7
950,Adara,F,12
951,Adarah,F,6
952,Adari,M,
953,Adaria,F,15
954,Adarian,M,9
955,Adarien,M,8
956,Adarion,M,7
957,Adarious,M,16
958,Adarius,M,15
959,Adarrius,M,13
960,Adarryl,M,41
961,Adarryll,M,43
962,Adarsh,M,9
963,Adaryl,M,41
964,Adaryll,M,40
965,Adasha,F,19
966,Adashia,F,13
967,Adasia,F,13
968,Adason,F,8
969,Adassa,F,8
970,Adasyn,F,6
971,Adasynn,F,
972,Adaugo,F,7
973,Adaure,F,
974,Adavia,F,
975,Adavion,M,9
976,Adaya,F,6
977,Adayah,F,7
978,Adayla,F,9
979,Adaysha,F,15
980,Adayshia,F,19
981,Adaysia,F,15
982,Adbeel,M,
983,Adbiel,M,3
984,Add,M,92
985,Adda,F,94
986,Addah,F,
987,Addai,M,6
988,Addalee,F,3
989,Addaleigh,F,2
990,Addaley,F,2
991,Addalie,F,3
992,Addalin,F,
993,Addalina,F,
994,Addaline,F,5
995,Addalyn,F,3
996,Addalyne,F,2
997,Addalynn,F,3
998,Addalynne,F,3
999,Addam,M,26
1000,Addan,M,11
1001,Addasyn,F,5
1002,Addelin,F,6
1003,Addelina,F,5
1004,Addeline,F,6
1005,Addell,F,94
1006,Addelyn,F,4
1007,Addelyne,F,
1008,Addelynn,F,3
1009,Addelynne,F,2
1010,Adden,M,6
1011,Adderly,M,28
1012,Addeson,F,10
1013,Addesyn,F,8
1014,Addey,F,11
1015,Addi,F,8
1016,Addia,F,
1017,Addicus,M,9
1018,Addicyn,F,4
1019,Addie,F,88
1020,Addiel,M,6
1021,Addielynn,F,2
1022,Addiemae,F,
1023,Addieson,F,
1024,Addilee,F,3
1025,Addileigh,F,3
1026,Addiley,F,3
1027,Addiline,F,34
1028,Addilyn,F,3
1029,Addilyne,F,2
1030,Addilynn,F,3
1031,Addilynne,F,2
1032,Addine,F,97
1033,Addington,M,5
1034,Addis,M,79
1035,Addisan,F,8
1036,Addisen,F,7
1037,Addisin,F,3
1038,Addison,M,6
1039,Addisson,F,6
1040,Addiston,F,
1041,Addisun,F,4
1042,Addisyn,F,5
1043,Addisynn,F,4
1044,Addix,M,
1045,Addle,F,
1046,Addlee,F,5
1047,Addley,F,3
1048,Addlie,F,
1049,Addlyn,F,
1050,Addlynn,F,
1051,Addonis,M,
1052,Addriana,F,
1053,Addrianna,F,18
1054,Addrienne,F,36
1055,Addsion,F,
1056,Addy,M,10
1057,Addylan,F,
1058,Addylen,F,
1059,Addylin,F,3
1060,Addyline,F,
1061,Addylyn,F,2
1062,Addylynn,F,2
1063,Addysan,F,6
1064,Addysen,F,6
1065,Addysin,F,5
1066,Addysn,F,
1067,Addyson,F,6
1068,Addysun,F,7
1069,Addysyn,F,5
1070,Ade,M,20
1071,Adea,F,10
1072,Adean,M,84
1073,Adeana,F,35
1074,Adeanna,F,
1075,Adebayo,M,22
1076,Adebisi,F,28
1077,Adebola,F,25
1078,Adebowale,M,32
1079,Adecyn,F,
1080,Adedamola,M,8
1081,Adedayo,M,14
1082,Adedeji,M,18
1083,Adedotun,M,
1084,Adedoyin,F,23
1085,Adee,F,
1086,Adeeb,M,11
1087,Adeeba,F,11
1088,Adeel,M,18
1089,Adeem,M,
1090,Adeen,M,
1091,Adeena,F,10
1092,Adein,M,6
1093,Adeja,F,15
1094,Adejah,F,13
1095,Adekemi,F,
1096,Adekunle,M,22
1097,Adel,M,26
1098,Adela,F,55
1099,Adelade,F,7
1100,Adelae,F,4
1101,Adelah,F,
1102,Adelai,F,5
1103,Adelaid,F,
1104,Adelaida,F,45
1105,Adelaide,F,75
1106,Adelaido,M,77
1107,Adelaina,F,3
1108,Adelaine,F,8
1109,Adelais,F,34
1110,Adelane,F,
1111,Adelard,M,94
1112,Adelay,F,3
1113,Adelaya,F,
1114,Adelayda,F,9
1115,Adelayde,F,5
1116,Adelayne,F,
1117,Adelbert,M,87
1118,Adele,F,82
1119,Adelean,F,
1120,Adelee,F,4
1121,Adeleen,F,
1122,Adelei,F,4
1123,Adeleigh,F,3
1124,Adeleine,F,5
1125,Adeleke,M,
1126,Adelen,F,
1127,Adelena,F,6
1128,Adelene,F,86
1129,Adeley,F,3
1130,Adelfa,F,77
1131,Adelfina,F,
1132,Adelfo,M,13
1133,Adelheid,F,4
1134,Adeli,F,6
1135,Adelia,F,74
1136,Adeliah,F,34
1137,Adelice,F,
1138,Adelicia,F,6
1139,Adelie,F,4
1140,Adelilah,F,
1141,Adelin,F,6
1142,Adelina,F,29
1143,Adelinah,F,3
1144,Adelind,F,34
1145,Adeline,F,86
1146,Adelinn,F,34
1147,Adelinne,F,34
1148,Adelino,M,92
1149,Adelis,F,6
1150,Adelisa,F,11
1151,Adelise,F,3
1152,Adelita,F,46
1153,Adeliz,F,6
1154,Adell,F,87
1155,Adella,F,83
1156,Adelle,F,61
1157,Adellia,F,
1158,Adelline,F,
1159,Adellyn,F,3
1160,Adellynn,F,
1161,Adelma,F,95
1162,Adelmira,F,66
1163,Adelmo,M,86
1164,Adelore,M,
1165,Adelphia,F,97
1166,Adely,F,8
1167,Adelya,F,
1168,Adelyn,F,4
1169,Adelyna,F,3
1170,Adelyne,F,7
1171,Adelynn,F,3
1172,Adelynne,F,4
1173,Adelys,F,
1174,Adem,M,12
1175,Ademar,M,
1176,Ademide,M,2
1177,Ademir,M,6
1178,Ademola,M,15
1179,Aden,M,8
1180,Adena,F,36
1181,Adene,F,83
1182,Adenike,F,25
1183,Adeniyi,M,32
1184,Adenn,M,7
1185,Adeola,F,16
1186,Adeolu,M,7
1187,Adeoluwa,M,5
1188,Adeon,M,
1189,Ader,F,100
1190,Adera,F,16
1191,Aderemi,M,
1192,Aderinsola,F,2
1193,Adero,F,
1194,Aderonke,F,37
1195,Aderyn,F,8
1196,Adesewa,F,
1197,Adesh,M,14
1198,Adesha,F,
1199,Adesina,F,
1200,Adesire,F,
1201,Adesola,F,21
1202,Adessa,F,9
1203,Adesuwa,F,16
